duration : 432, tx :4791401, rx :89024, txbr :83, rxbr :1, txAudioBr :71, rxAudioBr :0, users :1

duration : 434, tx :4811799, rx :89149, txbr :81, rxbr :0, txAudioBr :71, rxAudioBr :0, users :1

duration : 436, tx :4833082, rx :89593, txbr :85, rxbr :1, txAudioBr :71, rxAudioBr :0, users :1

duration : 438, tx :4854173, rx :90162, txbr :84, rxbr :2, txAudioBr :71, rxAudioBr :0, users :1

duration : 440, tx :4874779, rx :90408, txbr :82, rxbr :0, txAudioBr :71, rxAudioBr :0, users :1

duration : 442, tx :4896326, rx :90852, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 444, tx :4919469, rx :91025, txbr :92, rxbr :0, txAudioBr :81, rxAudioBr :0, users :1

duration : 446, tx :4941454, rx :91469, txbr :87, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 448, tx :4964900, rx :91990, txbr :93, rxbr :2, txAudioBr :79, rxAudioBr :0, users :1

duration : 450, tx :4986953, rx :92284, txbr :88, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 452, tx :5009832, rx :92728, txbr :91, rxbr :1, txAudioBr :79, rxAudioBr :0, users :1

duration : 454, tx :5032318, rx :93051, txbr :89, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 456, tx :5055384, rx :93543, txbr :92, rxbr :1, txAudioBr :79, rxAudioBr :0, users :1

duration : 458, tx :5076796, rx :93866, txbr :85, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 460, tx :5099124, rx :94112, txbr :89, rxbr :0, txAudioBr :76, rxAudioBr :0, users :1

duration : 462, tx :5121036, rx :94604, txbr :87, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 464, tx :5142256, rx :94729, txbr :84, rxbr :0, txAudioBr :74, rxAudioBr :0, users :1

duration : 466, tx :5164405, rx :95173, txbr :88, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 468, tx :5186265, rx :95742, txbr :87, rxbr :2, txAudioBr :75, rxAudioBr :0, users :1

duration : 470, tx :5207423, rx :95988, txbr :84, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

